MCCMNC,ISO,Network
28988,ge,A-Mobile
28968,ge,A-Mobile
28967,ge,Aquafon
41288,af,Afghan Telecom Corp. (AT)
41280,af,Afghan Telecom Corp. (AT)
41201,af,Afghan Wireless/AWCC
41240,af,Areeba/MTN
41250,af,Etisalat
41230,af,Etisalat
41220,af,Roshan/TDCA
41203,af,WaselTelecom (WT)
27601,al,AMC/Cosmote
27603,al,Eagle Mobile
27604,al,PLUS Communication Sh.a
27602,al,Vodafone
60301,dz,ATM Mobils
60302,dz,Orascom / DJEZZY
60303,dz,Oreedo/Wataniya / Nedjma
54411,as,Blue Sky Communications
21303,ad,Mobiland
63104,ao,MoviCel
63102,ao,Unitel
365840,ai,Cable and Wireless
365010,ai,Digicell / Wireless Vent. Ltd
344030,ag,APUA PCS
344920,ag,C & W
344930,ag,DigiCel/Cing. Wireless
722310,ar,Claro/ CTI/AMX
722330,ar,Claro/ CTI/AMX
722320,ar,Claro/ CTI/AMX
722010,ar,Compania De Radiocomunicaciones Moviles SA
722070,ar,Movistar/Telefonica
722020,ar,Nextel
722340,ar,Telecom Personal S.A.
722341,ar,Telecom Personal S.A.
28301,am,ArmenTel/Beeline
28304,am,Karabakh Telecom
28310,am,Orange
28305,am,Vivacell
36320,aw,Digicel
36302,aw,Digicel
36301,aw,Setar GSM
50514,au,AAPT Ltd.
50524,au,Advanced Comm Tech Pty.
50509,au,Airnet Commercial Australia Ltd..
50504,au,Department of Defense
50526,au,Dialogue Communications Pty Ltd
50512,au,H3G Ltd.
50506,au,H3G Ltd.
50588,au,Localstar Holding Pty. Ltd
50519,au,Lycamobile Pty Ltd
50508,au,Railcorp/Vodafone
50599,au,Railcorp/Vodafone
50513,au,Railcorp/Vodafone
50502,au,Singtel Optus
50590,au,Singtel Optus
50511,au,Telstra Corp. Ltd.
50571,au,Telstra Corp. Ltd.
50572,au,Telstra Corp. Ltd.
50501,au,Telstra Corp. Ltd.
50505,au,The Ozitel Network Pty.
50516,au,Victorian Rail Track Corp. (VicTrack)
50507,au,Vodafone
50503,au,Vodafone
23202,at,A1 MobilKom
23201,at,A1 MobilKom
23211,at,A1 MobilKom
23209,at,A1 MobilKom
23215,at,T-Mobile/Telering
23210,at,H3G
23214,at,H3G
23205,at,3/Orange/One Connect
23212,at,3/Orange/One Connect
23206,at,3/Orange/One Connect
23217,at,Spusu/Mass Response
23204,at,T-Mobile/Telering
23203,at,T-Mobile/Telering
23207,at,T-Mobile/Telering
23219,at,Tele2
23208,at,A1 MobilKom
