number pattern,Country,Network
8499*******,vn,Beeline
84199*******,vn,Beeline
8490*******,vn,Mobifone
8493*******,vn,Mobifone
84120*******,vn,Mobifone
84121*******,vn,Mobifone
84122*******,vn,Mobifone
84126*******,vn,Mobifone
84128*******,vn,Mobifone
8489*******,vn,Mobifone
8492*******,vn,VietnaMobile
84186*******,vn,VietnaMobile
84188*******,vn,VietnaMobile
8496*******,vn,Viettel Mobile
8497*******,vn,Viettel Mobile
8498*******,vn,Viettel Mobile
84162*******,vn,Viettel Mobile
84163*******,vn,Viettel Mobile
84164*******,vn,Viettel Mobile
84165*******,vn,Viettel Mobile
84166*******,vn,Viettel Mobile
84167*******,vn,Viettel Mobile
84168*******,vn,Viettel Mobile
84169*******,vn,Viettel Mobile
8486*******,vn,Viettel Mobile
8491*******,vn,Vinaphone
8494*******,vn,Vinaphone
84123*******,vn,Vinaphone
84124*******,vn,Vinaphone
84125*******,vn,Vinaphone
84127*******,vn,Vinaphone
84129*******,vn,Vinaphone
8488*******,vn,Vinaphone
6597******,sg,Singtel
6598******,sg,Singtel
6596******,sg,Singtel
