Provider,Country,Network
INFOBIP,my,Art900
INFOBIP,my,Baraka Telecom Sdn Bhd
INFOBIP,my,CelCom
INFOBIP,my,Digi Telecommunications
INFOBIP,my,Electcoms Wireless Sdn Bhd
INFOBIP,my,Maxis
INFOBIP,my,MTX Utara
INFOBIP,my,Webe/Packet One Networks (Malaysia) Sdn Bhd
MESSAGEBIRD,my,Samata Communications Sdn Bhd
MESSAGEBIRD,my,Tron/Talk Focus Sdn Bhd
MESSAGEBIRD,my,U Mobile
MESSAGEBIRD,my,XOX Com Sdn Bhd
MESSAGEBIRD,my,YES
INFOBIP,sg,GRID Communications Pte Ltd
INFOBIP,sg,MobileOne Ltd
INFOBIP,sg,Singtel
INFOBIP,sg,M1
MESSAGEBIRD,sg,StarHub
INFOBIP,vn,Beeline
INFOBIP,vn,Mobifone
NULL,vn,S-Fone/Telecom
NULL,vn,VietnaMobile
MESSAGEBIRD,vn,Viettel Mobile
MESSAGEBIRD,vn,Vinaphone
